Region,Performance,Redundancy,PricePerGB
uksouth,Premium SSD,LRS,0.15971484375
uksouth,Premium SSD,ZRS,0.239572265625
uksouth,Ultra Disk,LRS,0.14965
uksouth,Ultra Disk,ZRS,na
ukwest,Standard HDD,LRS,0.044
ukwest,Standard HDD,ZRS,na
ukwest,Standard SSD,LRS,0.0825
ukwest,Standard SSD,ZRS,na
ukwest,Premium SSD,LRS,0.15971484375
ukwest,Premium SSD,ZRS,na
ukwest,Ultra Disk,LRS,0.15695
ukwest,Ultra Disk,ZRS,na
westcentralus,Standard HDD,LRS,0.04
westcentralus,Standard HDD,ZRS,na
westcentralus,Standard SSD,LRS,0.075
westcentralus,Standard SSD,ZRS,na
westcentralus,Premium SSD,LRS,0.12
westcentralus,Premium SSD,ZRS,na
westcentralus,Ultra Disk,LRS,na
westcentralus,Ultra Disk,ZRS,na
westeurope,Standard HDD,LRS,0.04
westeurope,Standard HDD,ZRS,na
westeurope,Standard SSD,LRS,0.075
westeurope,Standard SSD,ZRS,0.1125
westeurope,Premium SSD,LRS,0.1451953125
westeurope,Premium SSD,ZRS,0.217763671875
westeurope,Ultra Disk,LRS,0.15549
westeurope,Ultra Disk,ZRS,na
westindia,Standard HDD,LRS,0.044
westindia,Standard HDD,ZRS,na
westindia,Standard SSD,LRS,0.0825
westindia,Standard SSD,ZRS,na
westindia,Premium SSD,LRS,0.132001953125
westindia,Premium SSD,ZRS,na
westindia,Ultra Disk,LRS,na
westindia,Ultra Disk,ZRS,na
westus,Standard HDD,LRS,0.04
westus,Standard HDD,ZRS,na
westus,Standard SSD,LRS,0.075
westus,Standard SSD,ZRS,na
westus,Premium SSD,LRS,0.132001953125
westus,Premium SSD,ZRS,na
westus,Ultra Disk,LRS,0.15549
westus,Ultra Disk,ZRS,na
westus2,Standard HDD,LRS,0.04
westus2,Standard HDD,ZRS,na
westus2,Standard SSD,LRS,0.075
westus2,Standard SSD,ZRS,0.1125
westus2,Premium SSD,LRS,0.12
westus2,Premium SSD,ZRS,0.18
westus2,Ultra Disk,LRS,0.11972000000000001
westus2,Ultra Disk,ZRS,na
westus3,Standard HDD,LRS,0.04
westus3,Standard HDD,ZRS,na
westus3,Standard SSD,LRS,0.075
westus3,Standard SSD,ZRS,0.1125
westus3,Premium SSD,LRS,0.12
westus3,Premium SSD,ZRS,0.18
westus3,Ultra Disk,LRS,0.11972000000000001
westus3,Ultra Disk,ZRS,na
