region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure
belgiumcentral,Belgium Central,BE,Recommended,Standard_F4s,unknown,,,,0.228,0.046421,79.6,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_F4s_v2,unknown,,,,0.194,0.035851,81.5,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_FX4mds,unknown,,,,,,,,
brazilsouth,Brazil South,BR,Recommended,Standard_B4ms,unknown,,,,0.269,,,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_D4,unknown,,,,0.76,0.152,80.0,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_D4_v2,unknown,,,,0.685,0.137,80.0,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_D4s_v3,unknown,,,,0.318,0.055109,82.7,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_D4s_v4,unknown,,,,0.306,0.056549,81.5,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_D4s_v5,unknown,,,,0.306,0.056549,81.5,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_D4s_v6,unknown,,,,0.321,0.059321,81.5,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_DS4_v2,unknown,,,,0.685,0.139466,79.6,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_E2_v3,unknown,,,,0.235,0.040726,82.7,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_E2s_v3,unknown,,,,0.235,0.040726,82.7,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_E2s_v4,unknown,,,,0.201,0.037145,81.5,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_E2s_v5,unknown,,,,0.201,0.037145,81.5,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_E2s_v6,unknown,,,,0.211,0.038993,81.5,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_F4,unknown,,,,0.287,0.0574,80.0,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_F4s,unknown,,,,0.287,0.058462,79.6,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_F4s_v2,unknown,,,,0.262,0.034,87.0,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_FX4mds,unknown,,,,0.556,0.102749,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_B4ms,unknown,,,,0.349,,,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_D4,unknown,,,,0.988,0.198,80.0,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_D4_v2,unknown,,,,0.89,0.178,80.0,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_D4s_v3,unknown,,,,0.413,0.076322,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_D4s_v4,unknown,,,,0.398,0.07355,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_D4s_v5,unknown,,,,0.398,0.07355,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_D4s_v6,unknown,,,,0.418,0.077246,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_DS4_v2,unknown,,,,0.89,0.181204,79.6,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_E2_v3,unknown,,,,0.306,0.056549,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_E2s_v3,unknown,,,,0.306,0.056549,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_E2s_v4,unknown,,,,0.261,0.048233,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_E2s_v5,unknown,,,,0.261,0.048233,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_E2s_v6,unknown,,,,0.274,0.050635,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_F4,unknown,,,,0.373,0.0747,80.0,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_F4s,unknown,,,,0.373,0.075943,79.6,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_F4s_v2,unknown,,,,0.341,0.063017,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_FX4mds,unknown,,,,0.723,0.13361,81.5,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_B4ms,unknown,,,,0.185,,,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_D4,unknown,,,,0.597,0.119,80.1,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_D4_v2,unknown,,,,0.56,0.112,80.0,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_D4s_v3,unknown,,,,0.222,0.079543,64.2,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_D4s_v4,unknown,,,,0.214,0.0428,80.0,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_D4s_v5,unknown,,,,0.214,0.0428,80.0,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_D4s_v6,unknown,,,,0.225,0.04158,81.5,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_DS4_v2,unknown,,,,0.56,0.271936,51.4,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_E2_v3,unknown,,,,0.146,0.029,80.1,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_E2s_v3,unknown,,,,0.146,0.052312,64.2,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_E2s_v4,unknown,,,,0.138,0.0276,80.0,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_E2s_v5,unknown,,,,0.138,0.0276,80.0,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_E2s_v6,unknown,,,,0.145,0.026796,81.5,USD,1 Hour
