region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure,effectiveStartDate,latitude,longitude
eastus2,East US 2,US,Recommended,Standard_B4ms,unknown,,,,0.166,,,USD,1 Hour,2025-10-01T00:00:00Z,36.83,-78.35
eastus2,East US 2,US,Recommended,Standard_D4s_v3,unknown,,,,0.192,0.09193,52.1,USD,1 Hour,2018-06-01T00:00:00Z,36.83,-78.35
eastus2,East US 2,US,Recommended,Standard_E2s_v3,unknown,,,,0.133,0.06368,52.1,USD,1 Hour,2018-06-01T00:00:00Z,36.83,-78.35
eastus2,East US 2,US,Recommended,Standard_F4s_v2,unknown,,,,0.169,0.0338,80.0,USD,1 Hour,2025-10-01T00:00:00Z,36.83,-78.35
francecentral,France Central,FR,Recommended,Standard_B4ms,unknown,,,,0.189,,,USD,1 Hour,2025-10-01T00:00:00Z,48.86,2.35
francecentral,France Central,FR,Recommended,Standard_D4s_v3,unknown,,,,0.224,0.041395,81.5,USD,1 Hour,2018-01-16T00:00:00Z,48.86,2.35
francecentral,France Central,FR,Recommended,Standard_E2s_v3,unknown,,,,0.156,0.028829,81.5,USD,1 Hour,2017-09-01T00:00:00Z,48.86,2.35
francecentral,France Central,FR,Recommended,Standard_F4s_v2,unknown,,,,0.202,0.034,83.2,USD,1 Hour,2025-10-01T00:00:00Z,48.86,2.35
francesouth,France South,FR,Recommended,Standard_B4ms,unknown,,,,0.27,,,USD,1 Hour,2025-10-01T00:00:00Z,43.3,5.37
francesouth,France South,FR,Recommended,Standard_D4s_v3,unknown,,,,0.291,0.053777,81.5,USD,1 Hour,2018-01-16T00:00:00Z,43.3,5.37
francesouth,France South,FR,Recommended,Standard_E2s_v3,unknown,,,,0.2028,0.037477,81.5,USD,1 Hour,2017-12-01T00:00:00Z,43.3,5.37
francesouth,France South,FR,Recommended,Standard_F4s_v2,unknown,,,,0.262,0.034,87.0,USD,1 Hour,2025-10-01T00:00:00Z,43.3,5.37
germanynorth,Germany North,DE,Recommended,Standard_B4ms,unknown,,,,0.25,,,USD,1 Hour,2025-10-01T00:00:00Z,52.52,13.4
germanynorth,Germany North,DE,Recommended,Standard_D4s_v3,unknown,,,,0.299,0.055255,81.5,USD,1 Hour,2019-09-01T00:00:00Z,52.52,13.4
germanynorth,Germany North,DE,Recommended,Standard_E2s_v3,unknown,,,,0.198,0.03659,81.5,USD,1 Hour,2019-09-01T00:00:00Z,52.52,13.4
germanynorth,Germany North,DE,Recommended,Standard_F4s_v2,unknown,,,,0.252,0.04657,81.5,USD,1 Hour,2025-10-01T00:00:00Z,52.52,13.4
germanywestcentral,Germany West Central,DE,Recommended,Standard_B4ms,unknown,,,,0.192,,,USD,1 Hour,2025-10-01T00:00:00Z,50.11,8.68
germanywestcentral,Germany West Central,DE,Recommended,Standard_D4s_v3,unknown,,,,0.23,0.042504,81.5,USD,1 Hour,2019-09-01T00:00:00Z,50.11,8.68
germanywestcentral,Germany West Central,DE,Recommended,Standard_E2s_v3,unknown,,,,0.152,0.02809,81.5,USD,1 Hour,2019-09-01T00:00:00Z,50.11,8.68
germanywestcentral,Germany West Central,DE,Recommended,Standard_F4s_v2,unknown,,,,0.194,0.035851,81.5,USD,1 Hour,2025-10-01T00:00:00Z,50.11,8.68
indiasouthcentral,India South Central,IN,Recommended,Standard_B4ms,unknown,,,,,,,,,,17.39,78.49
indiasouthcentral,India South Central,IN,Recommended,Standard_D4s_v3,unknown,,,,0.283,0.05128,81.9,USD,1 Hour,2026-05-01T00:00:00Z,17.39,78.49
indiasouthcentral,India South Central,IN,Recommended,Standard_E2s_v3,unknown,,,,0.182,0.032978,81.9,USD,1 Hour,2026-05-01T00:00:00Z,17.39,78.49
indiasouthcentral,India South Central,IN,Recommended,Standard_F4s_v2,unknown,,,,,,,,,,17.39,78.49
indonesiacentral,Indonesia Central,ID,Recommended,Standard_B4ms,unknown,,,,0.19,,,USD,1 Hour,2025-10-01T00:00:00Z,-6.21,106.85
indonesiacentral,Indonesia Central,ID,Recommended,Standard_D4s_v3,unknown,,,,0.225,0.04158,81.5,USD,1 Hour,2025-05-01T00:00:00Z,-6.21,106.85
indonesiacentral,Indonesia Central,ID,Recommended,Standard_E2s_v3,unknown,,,,0.144,0.026611,81.5,USD,1 Hour,2025-05-01T00:00:00Z,-6.21,106.85
indonesiacentral,Indonesia Central,ID,Recommended,Standard_F4s_v2,unknown,,,,0.176,0.032525,81.5,USD,1 Hour,2025-10-01T00:00:00Z,-6.21,106.85
israelcentral,Israel Central,IL,Recommended,Standard_B4ms,unknown,,,,0.192,,,USD,1 Hour,2025-10-01T00:00:00Z,32.08,34.78
israelcentral,Israel Central,IL,Recommended,Standard_D4s_v3,unknown,,,,0.224,0.041395,81.5,USD,1 Hour,2024-02-01T00:00:00Z,32.08,34.78
