Region,AccessFrequency,Performance,Redundancy,PricePerGB
canadacentral,Hot Tier,Standard HDD,GRS,0.06
canadacentral,Hot Tier,Standard HDD,ZRS,0.0375
canadacentral,Hot Tier,Standard HDD,GZRS,0.0675
canadacentral,Hot Tier,Premium SSD,LRS,0.176
canadacentral,Hot Tier,Premium SSD,GRS,na
canadacentral,Hot Tier,Premium SSD,ZRS,0.22
canadacentral,Hot Tier,Premium SSD,GZRS,na
canadacentral,Cool Tier,Standard HDD,LRS,0.0165
canadacentral,Cool Tier,Standard HDD,GRS,0.033
canadacentral,Cool Tier,Standard HDD,ZRS,0.0206
canadacentral,Cool Tier,Standard HDD,GZRS,0.037125
canadacentral,Cool Tier,Premium SSD,LRS,na
canadacentral,Cool Tier,Premium SSD,GRS,na
canadacentral,Cool Tier,Premium SSD,ZRS,na
canadacentral,Cool Tier,Premium SSD,GZRS,na
canadacentral,Transaction Optimized,Standard HDD,LRS,0.066
canadacentral,Transaction Optimized,Standard HDD,GRS,0.11
canadacentral,Transaction Optimized,Standard HDD,ZRS,0.0825
canadacentral,Transaction Optimized,Standard HDD,GZRS,0.156
canadacentral,Transaction Optimized,Premium SSD,LRS,na
canadacentral,Transaction Optimized,Premium SSD,GRS,na
canadacentral,Transaction Optimized,Premium SSD,ZRS,na
canadacentral,Transaction Optimized,Premium SSD,GZRS,na
canadaeast,Hot Tier,Standard HDD,LRS,0.03
canadaeast,Hot Tier,Standard HDD,GRS,0.06
canadaeast,Hot Tier,Standard HDD,ZRS,na
canadaeast,Hot Tier,Standard HDD,GZRS,na
canadaeast,Hot Tier,Premium SSD,LRS,0.192
canadaeast,Hot Tier,Premium SSD,GRS,na
canadaeast,Hot Tier,Premium SSD,ZRS,na
canadaeast,Hot Tier,Premium SSD,GZRS,na
canadaeast,Cool Tier,Standard HDD,LRS,0.0165
canadaeast,Cool Tier,Standard HDD,GRS,0.033
canadaeast,Cool Tier,Standard HDD,ZRS,na
canadaeast,Cool Tier,Standard HDD,GZRS,na
canadaeast,Cool Tier,Premium SSD,LRS,na
canadaeast,Cool Tier,Premium SSD,GRS,na
canadaeast,Cool Tier,Premium SSD,ZRS,na
canadaeast,Cool Tier,Premium SSD,GZRS,na
canadaeast,Transaction Optimized,Standard HDD,LRS,0.066
canadaeast,Transaction Optimized,Standard HDD,GRS,0.11
canadaeast,Transaction Optimized,Standard HDD,ZRS,na
canadaeast,Transaction Optimized,Standard HDD,GZRS,na
canadaeast,Transaction Optimized,Premium SSD,LRS,na
canadaeast,Transaction Optimized,Premium SSD,GRS,na
canadaeast,Transaction Optimized,Premium SSD,ZRS,na
canadaeast,Transaction Optimized,Premium SSD,GZRS,na
centralindia,Hot Tier,Standard HDD,LRS,0.03
centralindia,Hot Tier,Standard HDD,GRS,0.06
centralindia,Hot Tier,Standard HDD,ZRS,0.0375
centralindia,Hot Tier,Standard HDD,GZRS,0.09058
centralindia,Hot Tier,Premium SSD,LRS,0.176
centralindia,Hot Tier,Premium SSD,GRS,na
centralindia,Hot Tier,Premium SSD,ZRS,0.22
centralindia,Hot Tier,Premium SSD,GZRS,na
centralindia,Cool Tier,Standard HDD,LRS,0.0228
centralindia,Cool Tier,Standard HDD,GRS,0.0456
centralindia,Cool Tier,Standard HDD,ZRS,0.0285
centralindia,Cool Tier,Standard HDD,GZRS,0.07182
centralindia,Cool Tier,Premium SSD,LRS,na
centralindia,Cool Tier,Premium SSD,GRS,na
centralindia,Cool Tier,Premium SSD,ZRS,na
centralindia,Cool Tier,Premium SSD,GZRS,na
centralindia,Transaction Optimized,Standard HDD,LRS,0.066
centralindia,Transaction Optimized,Standard HDD,GRS,0.11
centralindia,Transaction Optimized,Standard HDD,ZRS,0.0825
centralindia,Transaction Optimized,Standard HDD,GZRS,0.189
centralindia,Transaction Optimized,Premium SSD,LRS,na
centralindia,Transaction Optimized,Premium SSD,GRS,na
centralindia,Transaction Optimized,Premium SSD,ZRS,na
centralindia,Transaction Optimized,Premium SSD,GZRS,na
centralus,Hot Tier,Standard HDD,LRS,0.0276
centralus,Hot Tier,Standard HDD,GRS,0.0552
centralus,Hot Tier,Standard HDD,ZRS,0.0345
centralus,Hot Tier,Standard HDD,GZRS,0.06
centralus,Hot Tier,Premium SSD,LRS,0.181
centralus,Hot Tier,Premium SSD,GRS,na
centralus,Hot Tier,Premium SSD,ZRS,0.226
centralus,Hot Tier,Premium SSD,GZRS,na
centralus,Cool Tier,Standard HDD,LRS,0.015
centralus,Cool Tier,Standard HDD,GRS,0.03
centralus,Cool Tier,Standard HDD,ZRS,0.0188
centralus,Cool Tier,Standard HDD,GZRS,0.0338
centralus,Cool Tier,Premium SSD,LRS,na
centralus,Cool Tier,Premium SSD,GRS,na
centralus,Cool Tier,Premium SSD,ZRS,na
centralus,Cool Tier,Premium SSD,GZRS,na
centralus,Transaction Optimized,Standard HDD,LRS,0.06
centralus,Transaction Optimized,Standard HDD,GRS,0.1
centralus,Transaction Optimized,Standard HDD,ZRS,0.075
centralus,Transaction Optimized,Standard HDD,GZRS,0.135
centralus,Transaction Optimized,Premium SSD,LRS,na
centralus,Transaction Optimized,Premium SSD,GRS,na
centralus,Transaction Optimized,Premium SSD,ZRS,na
centralus,Transaction Optimized,Premium SSD,GZRS,na
chilecentral,Hot Tier,Standard HDD,LRS,0.040179
chilecentral,Hot Tier,Standard HDD,GRS,na
chilecentral,Hot Tier,Standard HDD,ZRS,0.050225
chilecentral,Hot Tier,Standard HDD,GZRS,na
chilecentral,Hot Tier,Premium SSD,LRS,0.224
chilecentral,Hot Tier,Premium SSD,GRS,na
chilecentral,Hot Tier,Premium SSD,ZRS,0.28
chilecentral,Hot Tier,Premium SSD,GZRS,na
chilecentral,Cool Tier,Standard HDD,LRS,0.031919
chilecentral,Cool Tier,Standard HDD,GRS,na
chilecentral,Cool Tier,Standard HDD,ZRS,0.039899
chilecentral,Cool Tier,Standard HDD,GZRS,na
chilecentral,Cool Tier,Premium SSD,LRS,na
chilecentral,Cool Tier,Premium SSD,GRS,na
chilecentral,Cool Tier,Premium SSD,ZRS,na
chilecentral,Cool Tier,Premium SSD,GZRS,na
chilecentral,Transaction Optimized,Standard HDD,LRS,0.083998
chilecentral,Transaction Optimized,Standard HDD,GRS,na
chilecentral,Transaction Optimized,Standard HDD,ZRS,0.104998
chilecentral,Transaction Optimized,Standard HDD,GZRS,na
chilecentral,Transaction Optimized,Premium SSD,LRS,na
chilecentral,Transaction Optimized,Premium SSD,GRS,na
chilecentral,Transaction Optimized,Premium SSD,ZRS,na
chilecentral,Transaction Optimized,Premium SSD,GZRS,na
denmarkeast,Hot Tier,Standard HDD,LRS,0.0271
denmarkeast,Hot Tier,Standard HDD,GRS,na
denmarkeast,Hot Tier,Standard HDD,ZRS,0.0331
denmarkeast,Hot Tier,Standard HDD,GZRS,na
denmarkeast,Hot Tier,Premium SSD,LRS,0.192
denmarkeast,Hot Tier,Premium SSD,GRS,na
denmarkeast,Hot Tier,Premium SSD,ZRS,0.24
denmarkeast,Hot Tier,Premium SSD,GZRS,na
denmarkeast,Cool Tier,Standard HDD,LRS,0.015
denmarkeast,Cool Tier,Standard HDD,GRS,na
denmarkeast,Cool Tier,Standard HDD,ZRS,0.01875
denmarkeast,Cool Tier,Standard HDD,GZRS,na
denmarkeast,Cool Tier,Premium SSD,LRS,na
denmarkeast,Cool Tier,Premium SSD,GRS,na
denmarkeast,Cool Tier,Premium SSD,ZRS,na
denmarkeast,Cool Tier,Premium SSD,GZRS,na
denmarkeast,Transaction Optimized,Standard HDD,LRS,0.0577
denmarkeast,Transaction Optimized,Standard HDD,GRS,na
denmarkeast,Transaction Optimized,Standard HDD,ZRS,0.075
denmarkeast,Transaction Optimized,Standard HDD,GZRS,na
denmarkeast,Transaction Optimized,Premium SSD,LRS,na
denmarkeast,Transaction Optimized,Premium SSD,GRS,na
denmarkeast,Transaction Optimized,Premium SSD,ZRS,na
denmarkeast,Transaction Optimized,Premium SSD,GZRS,na
eastasia,Hot Tier,Standard HDD,LRS,0.036
eastasia,Hot Tier,Standard HDD,GRS,0.072
eastasia,Hot Tier,Standard HDD,ZRS,0.045
